module,problem_pattern,problem_desc,root_cause,solution,tags,severity
实况,数据偏差,显示晴天实际下大雨,局地强对流天气未被雷达捕捉,接入多源雷达拼图数据提升短临预报精度,降雨,high
实况,数据偏差,温度比预报低3-5度,郊区与城区温差大且用户定位偏差,优化定位精度并区分城区/郊区预报,温度,medium
逐天预报,数据偏差,预报多云结果一整天阴天,云量算法对低云识别不足,引入卫星云图低云反演算法,多云,medium
实况,数据偏差,风力预报偏小实际刮大风,阵风参数模型未考虑局地狭管效应,增加地形风场修正因子,风力,medium
实况,数据偏差,湿度显示50%实际感觉闷热,相对湿度与体感关联模型粗粒度,增加露点温度和焓值展示,体感温度,medium
实况,数据偏差,温度比预报高5-10度,阳光直射体感差异,增加体感温度显示,温度,medium
实况,数据偏差,早晚温度与预报偏差大,昼夜温差模型在春秋季不稳定,引入Transformer时序模型优化温度曲线,温度,medium
实况,时效延迟,手机显示温度和车载温度不一致,不同数据源网格插值差异,统一数据源并对齐网格精度,温度,medium
实况,数据偏差,山区温度差了近10度,高程修正系数未覆盖复杂地形,引入30m精度DEM高程温度订正,温度,medium
实况,数据偏差,明明没下雨却报了下雨,雷达回波虚假回波被误判为降水,升级质控算法过滤非气象回波,降雨,medium
短临降水,时空误差,报了一下午雨一滴没下,降水云团路径偏移预报落区偏差大,用光流法追踪云团动态纠正落区,降雨,medium
实况,数据偏差,小雨报成中雨,雨量分级阈值不适合当地气候特征,按气候分区调整雨量分级标准,降雨,low
短临降水,时空误差,预计2点下雨拖到5点还没下,降水系统移动速度被低估,引入风暴追踪速度订正模型,降雨,high
逐天预报,数据偏差,连续三天预报下雨都没下,数值模式对阻塞高压形势下的降水虚报率高,集合预报中增加消空处理逻辑,降雨,high
天气预警,认知偏差,人工降雨通知发了但雨没来,人工影响天气效果不确定性未前置说明,在推送中增加成功率和不确定性说明,降雨,medium
实况,数据偏差,现在大暴雨还报小雨,强对流升级速度超出模式更新频率,增加分钟级雷达外推填补模式间隙,暴雨,high
天气预警,时效延迟,红色暴雨预警迟了半小时才收到,预警推送链路延迟积压,优化预警推送优先级保障紧急信息秒级下发,预警理解,high
天气预警,时空误差,未收到暴雨预警,用户关闭推送,引导用户开启推送设置,预警理解,high
天气预警,时空误差,所在区发了预警但我没收到,定位未开启导致区域匹配失败,引导用户开启定位权限并说明用途,预警理解,high
